offer_id,offer_url,title,updated_time,address,metro_station,neighborhood,district,description,status,unpublished_date,price_info,distance,commission_value,deposit_value,rental_period,utilities_type,commission_info,deposit_info,price_value,cian_estimation_value,days_active,price_difference,price_difference_value,price_change_value,price_change_formatted,outside_distance,cian_estimation
315542107,https://www.cian.ru/rent/flat/315542107/,"1-комн. квартира, 39 м², 2/18 этаж",2025-04-08 10:08:00,"улица 1905 года, 21",м. Улица 1905 года,р-н Пресненский,ЦАО,"Предлагаем Вашему вниманию однокомнатную квартиру рядом со станцией метро ""Улица 1905 Года"".",active,--,"От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 60 000 ₽",4.61,50.0,60000.0,От года,комм. платежи включены (без счётчиков),комиссия 50%,залог 60 000 ₽,60000.0,,,,,,,,
316020913,https://www.cian.ru/rent/flat/316020913/,Студию сдает собственник,2025-04-09 05:14:00,"улица Дурова, 3/13",м. Достоевская,р-н Мещанский,ЦАО,"Хозяин квартиры сдает студию 34 кв.м. Вниманию агентств, если у вас есть клиент, то можете предложить ему, с агентством договор заключить не буду. Квартира солнечная. Очень тихий двор. 
Дом после капитального ремонта, не подлежит реновации.
Прямо из подъезда вход в исторический Екатерининский Парк с прудами, тенисными кортами, ресторанами и детскими площадками. 
Хороший ремонт ( по феншуй-без острых углов). Вся импортная брендовая сантехника, подвесной унитаз, круглая душевая кабина. Вся бытовая техника в квартире SAMSUNG и BOSH ( стильный двухкамерный (холодильник со стеклянными дверцами , встроенная посудомоечная машина, газовая плита,  стиральная машина, стеклянная вытяжка в одном стиле с холодильником и СВЧ, кондиционер, телевизор со стеклянным столиком).  В квартире встроенный огромный шкаф купе с фотообоями размером 2,7х3,2. Встроенная кухня из массива дуба. дорогие итальянские хрустальные люстры в видео граненых стеклянных шаров. На полу паркетная доска и испанская плитка. В ванной, в прихожей и на кухне полы с подогревом. Есть три варианта освещения ( бра, хрустальные люстры, по контуру потолка дневной свет), красивые бра на балконе. 
 Очень приличные соседи. Двор пол полным контролем видео камер и охраны На первом этаже подъезда салон красоты. Рядом с домом театр им.Дурова и театр Советский Армии.
Парковка машины на закрытой территории во дворе. Квартира после окраски, полностью готова к комфортному полноценному проживанию. 
ПРОСЬБА ЗВОНИТЬ ТОЛЬКО ЧЕРЕЗ ВОТЦАП И ТЕЛЕГРАММ",active,--,"От года, комм. платежи включены (счётчики включены), без комиссии, залог 80 000 ₽",6.6,0.0,80000.0,От года,комм. платежи включены (счётчики включены),без комиссии,залог 80 000 ₽,80000.0,,,,,,,,
314203425,https://www.cian.ru/rent/flat/314203425/,"1-комн. апартаменты, 40 м², 4/7 этаж",2025-04-08 12:05:00,"Нижегородская улица, 32С3",м. Калитники,р-н Таганский,ЦАО,"Предлагается 1-комнатные аппартаменты общей площадью 32 м² в ЖК ""Loft FM"" недалеко от станции метро ""Римская"". Для комфортного проживания в наличии имеется вся необходимая мебель. 
ТРАНСПОРТНАЯ ДОСТУПНОСТЬ: В пешей доступности 5 станций метро: в 10-15 минутах ходьбы: м. Римская, м. Площадь Ильича, м. Крестьянская застава, до м. Марксистская и м. Таганская 25 минут пешком или 10 минут общественным транспортом. Остановка транспорта рядом с ЖК. Автобусы, трамваи, шаговая доступность до станции МЦД-2 КАЛИТНИКИ. Удобный выезд на Нижегородскую улицу, Садовое кольцо, ТТК",active,--,"От года, комм. платежи включены (без счётчиков), без комиссии, залог 85 000 ₽",8.97,0.0,85000.0,От года,комм. платежи включены (без счётчиков),без комиссии,залог 85 000 ₽,85000.0,,,,,,,,
315056181,https://www.cian.ru/rent/flat/315056181/,Пешком до метро! Залог 0,2025-04-07 18:33:00,"Мытная улица, 24",м. Октябрьская,р-н Якиманка,ЦАО,"Сдаётся светлая 2-комнатная квартира с евроремонтом, раздельным санузлом и балконом, без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды.

Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Установлен кондиционер, есть стиральная машина, телевизор, холодильник, микроволновая печь, утюг, варочная панель. Дополнительную мебель и технику можно приобрести в счёт арендной платы. Полы  ламинат и плитка. Окна выходят во двор, есть бесплатная парковка. 

Собственник готов заселить не более 2 взрослых жильцов с детьми и заключить договор с юридическим лицом. Можно с домашним питомцем.  

Дом находится в районе с развитой инфраструктурой: в пешей доступности  школы и детские сады, продуктовые супермаркеты, кафе, рестораны и закусочные, аптеки и различные медицинские учреждения, библиотека, музеи и выставочные центры. Недалеко расположен парк Горького. 

До м. Октябрьская - 9 минут пешком, до м. Серпуховская - 13 минут.",active,--,"От года, комм. платежи включены (без счётчиков), комиссия 50%, без залога",3.88,50.0,0.0,От года,комм. платежи включены (без счётчиков),комиссия 50%,без залога,88400.0,,,,,,,,
315022426,https://www.cian.ru/rent/flat/315022426/,"1-комн. квартира, 20 м², 1/14 этаж",2025-04-08 08:28:00,"улица Госпитальный Вал, 5С1",м. Электрозаводская,р-н Басманный,ЦАО,"СТРОГО!!! ДЛЯ ОДНОЙ ДЕВУШКИ!!!
- Оперативный показ, ЗАСЕЛЕНИЕ В ДЕНЬ ПРОСМОТРА.   
- Собственник будет на просмотре и подписании договора.   
         
- Уважаемые наниматели, ВНИМАНИЕ! Каждое животное обговаривается в индивидуальном порядке!   
         
Отличная квартира студийной планировки по отличной цене. Великолепный вид из окна. Холодильник, телевизор, встроенная кухня, Интернет, Wi-Fi. Рядом есть все магазины, аптеки, школа, детский сад. Метро в пешей доступности.   
  
         
Сдаём на длительный срок.   
При взаимной симпатии залог разбивается на два месяца!   
У собственника могут быть дополнительные пожелания к жильцам.",active,--,"От года, комм. платежи включены (без счётчиков), комиссия 83%, залог 36 000 ₽",11.62,83.0,36000.0,От года,комм. платежи включены (без счётчиков),комиссия 83%,залог 36 000 ₽,35000.0,,,,,,,,
315533830,https://www.cian.ru/rent/flat/315533830/,Просторная студия 30 кв.м.,2025-04-08 11:32:00,"Новоданиловская набережная, 8к1",м. Верхние котлы,р-н Донской,ЮАО,"Сдаю квартиру-студию на длительный срок в шикарном районе. Рядом много кафе, прогулочных зон, дом располагается на набережной с доступом к речным трамвайчикам. Сама квартира оборудована всем необходимым - кухня с посудомоечной машиной, холодильником, микроволновой печью, духовкой и тд; зона обеденная и зона отдыха с диваном; спальная зона с кроватью-трансформером и много мест хранения; кондиционер и тд.",active,--,"От года, комм. платежи включены (счётчики включены), без комиссии, залог 90 000 ₽",7.5,0.0,90000.0,От года,комм. платежи включены (счётчики включены),без комиссии,залог 90 000 ₽,90000.0,,,,,,,,
315852792,https://www.cian.ru/rent/flat/315852792/,Квартира в отличном районе!,2025-04-09 02:40:00,"3-й Красносельский переулок, 7",м. Красносельская,р-н Красносельский,ЦАО,"Сдаётся уютная 2-уровневая студия с евроремонтом и совмещённым санузлом. Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды.

Установлен кухонный гарнитур, есть плита, чайник, телевизор, холодильник, стиральная машина, утюг, микроволновая печь, вытяжка. Интернет проведён, есть Wi-Fi и подключено кабельное/цифровое ТВ. Полы - плитка и ламинат. Окна выходят на улицу, на северо-запад. Есть платная парковка.

Собственник готов заселить не более 2 взрослых жильцов с детьми или заключить договор с юридическим лицом. Можно заселиться с небольшим домашним питомцем. Возможен торг. 

В районе развитая инфраструктура, в пешей доступности от дома — аптека, школа, банк, салон красоты, фитнес-клуб, кофейни, продуктовые супермаркеты, пункты выдачи маркетплейсов, ТЦ Московский, площадь трёх вокзалов, футбольная академия. Рядом — парк Сокольники с зонами для прогулок и отдыха.

В 10 минутах пешком — м. Красносельская. До МЦД Митьково — 20 минут пешком.",active,--,"От года, комм. платежи включены (без счётчиков), комиссия 55%, залог 55 000 ₽",9.38,55.0,55000.0,От года,комм. платежи включены (без счётчиков),комиссия 55%,залог 55 000 ₽,55000.0,,,,,,,,
296405808,https://www.cian.ru/rent/flat/296405808/,"3-комн. квартира, 80 м², 3/3 этаж",2025-04-09 01:25:00,"Расторгуевский переулок, 4С3",м. Улица 1905 года,р-н Пресненский,ЦАО,"Сдаётся на длительный срок трёхкомнатная квартира. Распашонка. Полный комплект мебели и бытовой техники. Рассмотрим всех приличных , платежеспособных граждан. Хороший , доброжелательный собственник. Фото соответствует. Показ в любое время по договорённости. Звоните.",active,--,"От года, комм. платежи включены (счётчики включены), комиссия 50%, залог 100 000 ₽",4.1,50.0,100000.0,От года,комм. платежи включены (счётчики включены),комиссия 50%,залог 100 000 ₽,100000.0,,,,,,,,
315883899,https://www.cian.ru/rent/flat/315883899/,Отличный ремонт! Депозит 0,2025-04-09 02:40:00,"улица Строителей, 6К5",м. Университет,р-н Гагаринский,ЮЗАО,"Сдаётся просторная квартира-студия, без депозита! Её можно посмотреть когда Вам удобно: бронируете время, забираете ключи или встречаетесь с нашим представителем и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать Вас на всех этапах аренды.

Интернет проведён + Wi-Fi. Квартира оснащена кухонным гарнитуром, варочная панель, вытяжка, телевизор, холодильник, стиральная машина, микроволновка. Полы - ламинат и плитка. Окна выходят во двор. 

Собственник готов заселить не более 2 взрослых жильцов с детьми и оформить временную регистрацию. Можно с небольшим домашним питомцем. 

Рядом с домом находятся школы, детские сады, продуктовые супермаркеты, ТЦ Капитолий, салоны красоты, пункты выдачи маркетплейсов, кафе, аптеки, поликлиника. Недалеко - Воробьёвы горы и Ботанический сад МГУ.

В 5 минутах пешком - м. Университет.",active,--,"От года, комм. платежи включены (без счётчиков), комиссия 55%, без залога",6.79,55.0,0.0,От года,комм. платежи включены (без счётчиков),комиссия 55%,без залога,57700.0,,,,,,,,
315686573,https://www.cian.ru/rent/flat/315686573/,"2-комн. квартира, 54 м², 2/12 этаж",2025-04-09 06:08:00,"площадь Победы, 2К2",м. Парк Победы,р-н Дорогомилово,ЗАО,"Сдам просторную 2-х комнатную квартиру всего в 2-х минутах ходьбы от метро. Прекрасный район, напротив парк Победы, солидное окружение, всевозможные кофейни, магазины, отделения банков, салоны красоты прямо в доме. Необходимая мебель и техника в квартире присутствует. Рассмотрим приличных платежеспособных нанимателей, без животных. Звонитe прямо сейчас!

Номер объекта: #1/1510335/109",active,--,"От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 95 000 ₽",4.83,50.0,95000.0,От года,комм. платежи включены (без счётчиков),комиссия 50%,залог 95 000 ₽,95000.0,,,,,,,,
