offer_id,date,date_iso,price,price_clean,change,change_clean,is_increase
316104722,Сегодня,2025-04-11 00:00:00,80 000 ₽/мес.,80000,30 000 ₽,+30000,True
316104722,10 апр 2025,2025-04-10 00:00:00,50 000 ₽/мес.,50000,5 000 ₽,-5000,False
316104722,10 апр 2025,2025-04-10 00:00:00,55 000 ₽/мес.,55000,,,False
316085766,10 апр 2025,2025-04-10 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,-10000,False
316085766,9 апр 2025,2025-04-09 00:00:00,110 000 ₽/мес.,110000,,,False
316015200,10 апр 2025,2025-04-10 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
316015200,8 апр 2025,2025-04-08 00:00:00,80 000 ₽/мес.,80000,,,False
315985003,10 апр 2025,2025-04-10 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
315985003,7 апр 2025,2025-04-07 00:00:00,80 000 ₽/мес.,80000,,,False
315984105,9 апр 2025,2025-04-09 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
315984105,7 апр 2025,2025-04-07 00:00:00,85 000 ₽/мес.,85000,,,False
315963981,7 апр 2025,2025-04-07 00:00:00,55 000 ₽/мес.,55000,54 945 000 ₽,-54945000,False
315963981,7 апр 2025,2025-04-07 00:00:00,55 000 000 ₽/мес.,55000000,,,False
315960228,10 апр 2025,2025-04-10 00:00:00,90 000 ₽/мес.,90000,10 000 ₽,-10000,False
315960228,7 апр 2025,2025-04-07 00:00:00,100 000 ₽/мес.,100000,,,False
315933413,8 апр 2025,2025-04-08 00:00:00,90 000 ₽/мес.,90000,40 000 ₽,-40000,False
315933413,8 апр 2025,2025-04-08 00:00:00,130 000 ₽/мес.,130000,50 000 ₽,+50000,True
315933413,7 апр 2025,2025-04-07 00:00:00,80 000 ₽/мес.,80000,10 000 ₽,-10000,False
315933413,6 апр 2025,2025-04-06 00:00:00,90 000 ₽/мес.,90000,,,False
315915558,10 апр 2025,2025-04-10 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
315915558,8 апр 2025,2025-04-08 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
315915558,5 апр 2025,2025-04-05 00:00:00,95 000 ₽/мес.,95000,,,False
315911384,8 апр 2025,2025-04-08 00:00:00,80 000 ₽/мес.,80000,4 000 ₽,+4000,True
315911384,5 апр 2025,2025-04-05 00:00:00,76 000 ₽/мес.,76000,,,False
315900371,7 апр 2025,2025-04-07 00:00:00,98 000 ₽/мес.,98000,6 000 ₽,-6000,False
315900371,5 апр 2025,2025-04-05 00:00:00,104 000 ₽/мес.,104000,,,False
315890014,10 апр 2025,2025-04-10 00:00:00,89 999 ₽/мес.,89999,10 000 ₽,-10000,False
315890014,5 апр 2025,2025-04-05 00:00:00,99 999 ₽/мес.,99999,,,False
315876270,8 апр 2025,2025-04-08 00:00:00,83 000 ₽/мес.,83000,2 000 ₽,-2000,False
315876270,6 апр 2025,2025-04-06 00:00:00,85 000 ₽/мес.,85000,2 000 ₽,-2000,False
315876270,4 апр 2025,2025-04-04 00:00:00,87 000 ₽/мес.,87000,,,False
315855629,6 апр 2025,2025-04-06 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,-10000,False
315855629,4 апр 2025,2025-04-04 00:00:00,110 000 ₽/мес.,110000,,,False
