offer_id,creation_date,creation_date_iso,updated_date,updated_date_iso,total_views,recent_views,unique_views,is_unpublished
316167091,11.04.2025,2025-04-11 00:00:00,"вчера, 13:00",2025-04-11 13:00:00,51,51,39,False
316063232,09.04.2025,2025-04-09 00:00:00,"вчера, 16:10",2025-04-11 16:10:00,160,160,88,False
315982292,07.04.2025,2025-04-07 00:00:00,"10 апр, 10:40",2025-04-10 10:40:00,646,646,410,False
315977648,07.04.2025,2025-04-07 00:00:00,"8 апр, 19:52",2025-04-08 19:52:00,104,104,47,False
315962374,07.04.2025,2025-04-07 00:00:00,"вчера, 13:04",2025-04-11 13:04:00,341,341,237,False
315957488,07.04.2025,2025-04-07 00:00:00,"8 апр, 15:21",2025-04-08 15:21:00,273,273,151,False
315720394,01.04.2025,2025-04-01 00:00:00,"1 апр, 19:54",2025-04-01 19:54:00,358,301,223,False
315711187,01.04.2025,2025-04-01 00:00:00,"6 апр, 22:35",2025-04-06 22:35:00,1966,1554,1112,False
315698560,01.04.2025,2025-04-01 00:00:00,"сегодня, 04:05","Invalid date format: сегодня, 04:05",446,442,294,False
315648902,31.03.2025,2025-03-31 00:00:00,"4 апр, 14:02",2025-04-04 14:02:00,1315,1315,849,False
315643332,31.03.2025,2025-03-31 00:00:00,"7 апр, 22:17",2025-04-07 22:17:00,401,257,287,False
315614690,31.03.2025,2025-03-31 00:00:00,"вчера, 03:54",2025-04-11 03:54:00,447,279,297,False
315585856,29.03.2025,2025-03-29 00:00:00,"10 апр, 14:03",2025-04-10 14:03:00,861,524,520,False
315581814,29.03.2025,2025-03-29 00:00:00,"31 мар, 16:17",2025-03-31 16:17:00,861,651,591,False
315564173,28.03.2025,2025-03-28 00:00:00,"сегодня, 08:55","Invalid date format: сегодня, 08:55",188,160,127,False
315445673,26.03.2025,2025-03-26 00:00:00,"9 апр, 20:46",2025-04-09 20:46:00,1007,459,657,False
315392787,25.03.2025,2025-03-25 00:00:00,"вчера, 12:53",2025-04-11 12:53:00,647,280,383,False
315351421,24.03.2025,2025-03-24 00:00:00,"вчера, 21:09",2025-04-11 21:09:00,334,166,215,False
315314773,23.03.2025,2025-03-23 00:00:00,"сегодня, 08:39","Invalid date format: сегодня, 08:39",1000,568,559,False
315268246,21.03.2025,2025-03-21 00:00:00,"9 апр, 16:47",2025-04-09 16:47:00,586,411,349,False
315248123,21.03.2025,2025-03-21 00:00:00,"вчера, 20:19",2025-04-11 20:19:00,419,196,286,False
315118882,19.03.2025,2025-03-19 00:00:00,"2 апр, 11:37",2025-04-02 11:37:00,247,185,160,False
315111390,18.03.2025,2025-03-18 00:00:00,"вчера, 20:17",2025-04-11 20:17:00,818,277,426,False
315083863,18.03.2025,2025-03-18 00:00:00,"10 апр, 18:48",2025-04-10 18:48:00,714,289,485,False
314996951,16.03.2025,2025-03-16 00:00:00,"7 апр, 13:12",2025-04-07 13:12:00,441,193,270,False
314911723,14.03.2025,2025-03-14 00:00:00,"25 мар, 15:27",2025-03-25 15:27:00,1166,270,825,False
314909530,13.03.2025,2025-03-13 00:00:00,"13 мар, 23:46",2025-03-13 23:46:00,984,260,574,False
314897737,13.03.2025,2025-03-13 00:00:00,"10 апр, 16:55",2025-04-10 16:55:00,464,193,287,False
314676517,08.03.2025,2025-03-08 00:00:00,"сегодня, 05:54","Invalid date format: сегодня, 05:54",1406,562,790,False
314329494,28.02.2025,2025-02-28 00:00:00,"вчера, 20:19",2025-04-11 20:19:00,691,156,435,False
314011077,21.02.2025,2025-02-21 00:00:00,"27 мар, 11:46",2025-03-27 11:46:00,735,196,483,False
313689777,14.02.2025,2025-02-14 00:00:00,"10 апр, 16:00",2025-04-10 16:00:00,2183,515,1284,False
313492003,10.02.2025,2025-02-10 00:00:00,"8 апр, 22:02",2025-04-08 22:02:00,2524,439,1370,False
312673761,22.01.2025,2025-01-22 00:00:00,"сегодня, 08:56","Invalid date format: сегодня, 08:56",2529,433,1461,False
312246667,13.01.2025,2025-01-13 00:00:00,"3 апр, 14:21",2025-04-03 14:21:00,2250,442,1271,False
310792342,03.12.2024,2024-12-03 00:00:00,"21 мар, 19:04",2025-03-21 19:04:00,3713,348,2268,False
310660324,30.11.2024,2024-11-30 00:00:00,"вчера, 18:31",2025-04-11 18:31:00,893,182,577,False
309980505,15.11.2024,2024-11-15 00:00:00,"вчера, 14:38",2025-04-11 14:38:00,3616,343,2095,False
298970024,26.02.2024,2024-02-26 00:00:00,"9 апр, 15:26",2025-04-09 15:26:00,5639,345,3088,False
295252797,20.11.2023,2023-11-20 00:00:00,"30 мар, 11:52",2025-03-30 11:52:00,3581,208,1942,False
294961642,12.11.2023,2023-11-12 00:00:00,"4 апр, 20:32",2025-04-04 20:32:00,4103,379,331,False
272634465,20.04.2022,2022-04-20 00:00:00,"10 апр, 14:43",2025-04-10 14:43:00,2226,26,202,False
272600208,19.04.2022,2022-04-19 00:00:00,"20 мар, 10:10",2025-03-20 10:10:00,8911,908,1804,False
272591317,19.04.2022,2022-04-19 00:00:00,"30 мар, 21:45",2025-03-30 21:45:00,1760,404,662,False
265122740,09.10.2021,2021-10-09 00:00:00,"7 апр, 12:35",2025-04-07 12:35:00,3077,824,594,False
222723163,04.12.2019,2019-12-04 00:00:00,"8 апр, 15:30",2025-04-08 15:30:00,8353,594,1425,False
164708200,08.10.2017,2017-10-08 00:00:00,"5 апр, 10:23",2025-04-05 10:23:00,4389,536,930,False
162193182,18.08.2017,2017-08-18 00:00:00,"31 мар, 13:45",2025-03-31 13:45:00,5867,399,1316,False
316221890,12.04.2025,2025-04-12 00:00:00,"вчера, 21:09",2025-04-12 21:09:00,272,272,248,False
316220092,12.04.2025,2025-04-12 00:00:00,"сегодня, 11:08","Invalid date format: сегодня, 11:08",38,38,35,False
316217481,12.04.2025,2025-04-12 00:00:00,"вчера, 17:24",2025-04-12 17:24:00,34,34,27,False
316211737,12.04.2025,2025-04-12 00:00:00,"вчера, 13:05",2025-04-12 13:05:00,42,42,36,False
316209891,12.04.2025,2025-04-12 00:00:00,"вчера, 14:35",2025-04-12 14:35:00,32,32,26,False
316203021,12.04.2025,2025-04-12 00:00:00,"вчера, 06:35",2025-04-12 06:35:00,77,77,53,False
316197818,11.04.2025,2025-04-11 00:00:00,"11 апр, 23:30",2025-04-11 23:30:00,150,150,118,False
316195068,11.04.2025,2025-04-11 00:00:00,"вчера, 21:30",2025-04-12 21:30:00,17,17,14,False
316184609,11.04.2025,2025-04-11 00:00:00,"11 апр, 16:59",2025-04-11 16:59:00,54,54,35,False
316175776,11.04.2025,2025-04-11 00:00:00,"11 апр, 15:15",2025-04-11 15:15:00,67,67,39,False
316174819,11.04.2025,2025-04-11 00:00:00,"11 апр, 15:03",2025-04-11 15:03:00,165,165,107,False
316172596,11.04.2025,2025-04-11 00:00:00,"вчера, 20:21",2025-04-12 20:21:00,98,98,82,False
316159873,11.04.2025,2025-04-11 00:00:00,"11 апр, 10:45",2025-04-11 10:45:00,82,82,69,False
316159287,11.04.2025,2025-04-11 00:00:00,"вчера, 06:02",2025-04-12 06:02:00,194,194,152,False
316153847,11.04.2025,2025-04-11 00:00:00,"11 апр, 08:50",2025-04-11 08:50:00,37,37,27,False
316153818,11.04.2025,2025-04-11 00:00:00,"11 апр, 08:53",2025-04-11 08:53:00,96,96,75,False
316138875,10.04.2025,2025-04-10 00:00:00,"10 апр, 21:36",2025-04-10 21:36:00,29,29,21,False
